pincode,officeName,district,state,storedLat,storedLon,kmFromRegion,regionPrefix,severity
390023,"Subhanpura SO","VADODARA","GUJARAT",22.3213611,73.154,107,39002*,HIGH
521122,"Gandhikshetram S.O","KRISHNA","ANDHRA PRADESH",16.03069444,80.929,106,5211*,HIGH
284124,"Jakhaura SO","LALITPUR","UTTAR PRADESH",24.5425,78.201,106,28412*,HIGH
521121,"Avanigadda H.O","KRISHNA","ANDHRA PRADESH",16.02008333,80.91555556,106,5211*,HIGH
686002,"Kottayam Collectorate SO","KOTTAYAM","KERALA",9.59309691417403,76.5353107452392,105,68600*,HIGH
390026,"NDC VADODARA","NA","NA",22.3035833,73.1976944,105,39002*,HIGH
390021,"T B Sanatorium SO","VADODARA","GUJARAT",22.3035833,73.1976944,105,39002*,HIGH
261304,"Atariya SO","SITAPUR","UTTAR PRADESH",27.172559,80.859988,105,26130*,HIGH
585445,"KOHINOOR SO","BIDAR","KARNATAKA",17.8122,76.8534,104,5854*,HIGH
751010,"Rasulgarh S.O","KHORDHA","ODISHA",21.3025,85.8560556,104,75101*,HIGH
711111,"Jagacha SO","HOWRAH","WEST BENGAL",22.5804,88.2751,104,71111*,HIGH
686006,"Nattassery S H Mount SO","KOTTAYAM","KERALA",9.605192,76.52954,104,68600*,HIGH
262526,"Jhulaghat SO","PITHORAGARH","UTTARAKHAND",28.5725556,80.1731389,104,26252*,HIGH
711113,"Balitikuri SO","HOWRAH","WEST BENGAL",22.6062,88.294,104,71111*,HIGH
480994,"Keolari S.O","SEONI","MADHYA PRADESH",22.3706,79.91,103,480*,HIGH
752068,"Itamati S.O","NAYAGARH","ODISHA",20.1664,85.1497,103,75206*,HIGH
744202,"Diglipur S.O","NORTH AND MIDDLE ANDAMAN","ANDAMAN AND NICOBAR ISLANDS",13.245378,92.974911,103,74420*,HIGH
